"ReportTimestamp","DisplayName","SamAccountName","EmployeeID","ADDepartment","MappedDepartment","DepartmentGroup","IsGroupMember","MappedDriveRoot","EntitledFolder","DepartmentDriveLetter","ExpectedAccessLevel","AccessType","DataOwner","SharePathExists","DepartmentMatchesMapping","EntitlementCompliant","ComplianceReason"
"2026-07-28T10:31:31.2731451-07:00","Heather Summer","heather.summer",,"Engineering","Engineering","Engineering Group","True","\\FILE01\Departments","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Kevin Jones","kevin.jones",,"Engineering","Engineering","Engineering Group","True","\\FILE01\Departments","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Lee McCrae","lee.mccrae",,"Engineering","Engineering","Engineering Group","True","\\FILE01\Departments","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Benjamin Washington","benjamin.washington",,"Executives","Executives","Executives Group","True","\\FILE01\Departments","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Kathy Arnold","kathy.arnold",,"Executives","Executives","Executives Group","True","\\FILE01\Departments","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Ted Willams","ted.williams",,"Executives","Executives","Executives Group","True","\\FILE01\Departments","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","William Trent","william.trent",,"Executives","Executives","Executives Group","True","\\FILE01\Departments","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Alyssa Jensen","alyssa.jensen",,"Finance","Finance","Finance Group","True","\\FILE01\Departments","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Amy Wilcox","amy.wilcox",,"Finance","Finance","Finance Group","True","\\FILE01\Departments","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Andrea Forsythe","andrea.forsythe",,"Finance","Finance","Finance Group","True","\\FILE01\Departments","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Anthony Edwards","anthony.edwards",,"Finance","Finance","Finance Group","True","\\FILE01\Departments","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Janice Smith","janice.smith",,"HR","HR","HR Group","True","\\FILE01\Departments","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Jennifer Sorensen","jennifer.sorensen",,"HR","HR","HR Group","True","\\FILE01\Departments","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Julie Lloyd","julie.lloyd",,"HR","HR","HR Group","True","\\FILE01\Departments","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Michael Smith","michael.smith","1001","HR","HR","HR Group","False","\\FILE01\Departments","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","True","True","False","Expected department group is missing"
"2026-07-28T10:31:31.2731451-07:00","Bill Smith","bill.smith",,"IT","IT","IT Group","True","\\FILE01\Departments","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Eric Lee","eric.lee",,"IT","IT","IT Group","True","\\FILE01\Departments","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","James Tritt","james.tritt",,"IT","IT","IT Group","True","\\FILE01\Departments","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","John Williams","john.williams",,"IT","IT","IT Group","True","\\FILE01\Departments","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Brown Steward","brown.steward",,"Security","Security","Security Group","True","\\FILE01\Departments","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","David Admire","davidadmire",,"Security","Security","Security Group","True","\\FILE01\Departments","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Elie Admin","elie.admin",,,"Security","Security Group","True","\\FILE01\Departments","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","True","False","False","Group membership does not match AD Department"
"2026-07-28T10:31:31.2731451-07:00","Ethan Marwaloud","ethanmarwaloud",,"Security","Security","Security Group","True","\\FILE01\Departments","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","John Latouche","johnlatouche",,"Security","Security","Security Group","True","\\FILE01\Departments","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","True","True","True","Department and group membership match"
"2026-07-28T10:31:31.2731451-07:00","Security Admin","admin.security",,,"Security","Security Group","True","\\FILE01\Departments","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","True","False","False","Group membership does not match AD Department"
