"ReportTimestamp","DisplayName","SamAccountName","EmployeeID","Department","Title","Manager","UserPrincipalName","Enabled","OU","DepartmentGroup","EntitledFolder","JMLReady","MissingAttributes","RecommendedIdentifier","RecommendedAction"
"2026-07-28T10:31:31.2731451-07:00","Benjamin Washington","benjamin.washington",,"Executives","Chief Finance Officer (CFO)","Ted Willams","benjamin.washington@Corp.local","True","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group","\\FILE01\Departments\Executives","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Kathy Arnold","kathy.arnold",,"Executives","Chief Human Resources Officer (CHRO)","Ted Willams","kathy.arnold@Corp.local","True","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group","\\FILE01\Departments\Executives","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Ted Willams","ted.williams",,"Executives","Chief Executive Officer (CEO)","","ted.williams@Corp.local","True","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group","\\FILE01\Departments\Executives","No","EmployeeID; Manager","SamAccountName","Populate: EmployeeID, Manager"
"2026-07-28T10:31:31.2731451-07:00","William Trent","william.trent",,"Executives","Chief Operating Officer (COO)","Ted Willams","william.trent@Corp.local","True","OU=Executives,OU=Departments,DC=Corp,DC=local","Executives Group","\\FILE01\Departments\Executives","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Alyssa Jensen","alyssa.jensen",,"Finance","Manager of Finance","Benjamin Washington","alyssa.jensen@Corp.local","True","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group","\\FILE01\Departments\Finance","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Amy Wilcox","amy.wilcox",,"Finance","Payroll Specialist","Alyssa Jensen","amy.wilcox@Corp.local","True","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group","\\FILE01\Departments\Finance","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Andrea Forsythe","andrea.forsythe",,"Finance","Finance Analyst","Alyssa Jensen","andrea.forsythe@Corp.local","True","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group","\\FILE01\Departments\Finance","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Anthony Edwards","anthony.edwards",,"Finance","Treasury and Cash Management Staff","Alyssa Jensen","anthony.edwards@Corp.local","True","OU=Finance,OU=Departments,DC=Corp,DC=local","Finance Group","\\FILE01\Departments\Finance","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Janice Smith","janice.smith",,"HR","HR Manager","Kathy Arnold","janice.smith@Corp.local","True","OU=HR,OU=Departments,DC=Corp,DC=local","HR Group","\\FILE01\Departments\HR","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Jennifer Sorensen","jennifer.sorensen",,"HR","HR Generalist","Janice Smith","jennifer.sorensen@Corp.local","True","OU=HR,OU=Departments,DC=Corp,DC=local","HR Group","\\FILE01\Departments\HR","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Julie Lloyd","julie.lloyd",,"HR","HRIS Specialist","Janice Smith","julie.lloyd@Corp.local","True","OU=HR,OU=Departments,DC=Corp,DC=local","HR Group","\\FILE01\Departments\HR","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Michael Smith","michael.smith","1001","HR","HR Analyst","Sarah Johnson","michael.smith@Corp.local","False","OU=Disabled Users,DC=Corp,DC=local","","","Yes","","EmployeeID","Ready for Mover/Leaver automation"
"2026-07-28T10:31:31.2731451-07:00","Bill Smith","bill.smith",,"IT","Manager of IT","John Williams","bill.smith@Corp.local","True","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group","\\FILE01\Departments\IT","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Eric Lee","eric.lee",,"IT","HelpDesk Technician","Bill Smith","eric.lee@Corp.local","True","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group","\\FILE01\Departments\IT","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","James Tritt","james.tritt",,"IT","IT Technical Support Specialist","Bill Smith","james.tritt@Corp.local","True","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group","\\FILE01\Departments\IT","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","John Williams","john.williams",,"IT","Director of IT","William Trent","john.williams@Corp.local","True","OU=IT,OU=Departments,DC=Corp,DC=local","IT Group","\\FILE01\Departments\IT","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Brown Steward","brown.steward",,"Security","Manager of Cybersecurity","William Trent","brown.steward@Corp.local","True","OU=Security,OU=Departments,DC=Corp,DC=local","Security Group","\\FILE01\Departments\Security","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","David Admire","davidadmire",,"Security","DevSecOps","Brown Steward","davidadmire@Corp.local","True","OU=Security,OU=Departments,DC=Corp,DC=local","Security Group","\\FILE01\Departments\Security","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Ethan Marwaloud","ethanmarwaloud",,"Security","Security Engineer","Brown Steward","ethanmarwaloud@Corp.local","True","OU=Security,OU=Departments,DC=Corp,DC=local","Security Group","\\FILE01\Departments\Security","No","EmployeeID","SamAccountName","Populate: EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","John Latouche","johnlatouche",,"Security","IAM Engineer","Brown Steward","johnlatouche@Corp.local","True","OU=Security,OU=Departments,DC=Corp,DC=local","Security Group","\\FILE01\Departments\Security","No","EmployeeID","SamAccountName","Populate: EmployeeID"
