"ReportTimestamp","DisplayName","SamAccountName","UserPrincipalName","EmployeeID","Department","Title","Manager","Enabled","LockedOut","PasswordLastSet","LastLogonDate","HomeDirectory","HomeDrive","DepartmentGroup","DepartmentMappedDriveRoot","DepartmentSharedDrive","DepartmentEntitledFolder","DepartmentDriveLetter","SharedDriveAccess","AccessType","DataOwner","OU","SecurityGroups","PrivilegedGroups","DepartmentGroupCompliant","SharePathExists","JMLReady","MissingJMLAttributes"
"2026-07-28T10:31:31.2731451-07:00","Joseph Johnson","joseph.jonson","joseph.jonson@Corp.local",,"Customer Relations","Customer Service","Trisha Hyatt","True","False","7/11/2026 10:52:08 AM",,,,"Customer Relations Group","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","OU=Contractors,DC=Corp,DC=local","Customer Relations Group; Domain Users","","Yes","True","NotManaged","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Shanon Tate","shanon.tate","shanon.tate@Corp.local",,"Customer Relations","Customer Service","Trisha Hyatt","True","False","6/11/2026 7:42:42 PM",,,,"Customer Relations Group","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","OU=Contractors,DC=Corp,DC=local","Customer Relations Group; Domain Users","","Yes","True","NotManaged","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Trent Allen","trent.allen","trent.allen@Corp.local",,"Customer Relations","Customer Service Representative","Trisha Hyatt","True","False","6/11/2026 7:43:34 PM",,,,"Customer Relations Group","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group; Domain Users","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Trevor Anderson","trevor.anderson","trevor.anderson@Corp.local",,"Customer Relations","Customer Service Representative","Trisha Hyatt","True","False","6/11/2026 7:44:30 PM",,,,"Customer Relations Group","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group; Domain Users","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Trisha Hyatt","trisha.hyatt","trisha.hyatt@Corp.local",,"Customer Relations","Manager Of Customer Relations","Kathy Arnold","True","False","6/11/2026 7:45:10 PM",,,,"Customer Relations Group","\\FILE01\Departments","\\FILE01\Departments\Customer Relations","\\FILE01\Departments\Customer Relations","S:","Modify","Birthright","Customer Relations Manager","OU=Customer Relations,OU=Departments,DC=Corp,DC=local","Customer Relations Group; Domain Users","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Happy Sunday","happy.sunday","happy.sunday@Corp.local",,"Engineering","Data Engineer","Lee McCrae","True","False","6/10/2026 9:38:42 PM",,,,"Engineering Group","\\FILE01\Departments","\\FILE01\Departments\Engineering","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Domain Users; Engineering Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Heather Summer","heather.summer","heather.summer@Corp.local",,"Engineering","Data Analyst","Lee McCrae","True","False","6/10/2026 9:40:07 PM",,,,"Engineering Group","\\FILE01\Departments","\\FILE01\Departments\Engineering","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Domain Users; Engineering Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Kevin Jones","kevin.jones","kevin.jones@Corp.local",,"Engineering","Software Engineer","Lee McCrae","True","False","6/10/2026 9:36:49 PM",,,,"Engineering Group","\\FILE01\Departments","\\FILE01\Departments\Engineering","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Domain Users; Engineering Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Lee McCrae","lee.mccrae","lee.mccrae@Corp.local",,"Engineering","Manager Of Engineering","William Trent","True","False","6/10/2026 9:37:48 PM",,,,"Engineering Group","\\FILE01\Departments","\\FILE01\Departments\Engineering","\\FILE01\Departments\Engineering","S:","Modify","Birthright","Engineering Manager","OU=Engineering,OU=Departments,DC=Corp,DC=local","Domain Users; Engineering Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Benjamin Washington","benjamin.washington","benjamin.washington@Corp.local",,"Executives","Chief Finance Officer (CFO)","Ted Willams","True","False","6/10/2026 9:45:41 PM",,,,"Executives Group","\\FILE01\Departments","\\FILE01\Departments\Executives","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Domain Users; Executives Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Kathy Arnold","kathy.arnold","kathy.arnold@Corp.local",,"Executives","Chief Human Resources Officer (CHRO)","Ted Willams","True","False","6/10/2026 9:47:11 PM",,,,"Executives Group","\\FILE01\Departments","\\FILE01\Departments\Executives","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Domain Users; Executives Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Ted Willams","ted.williams","ted.williams@Corp.local",,"Executives","Chief Executive Officer (CEO)","","True","False","6/10/2026 9:48:03 PM",,,,"Executives Group","\\FILE01\Departments","\\FILE01\Departments\Executives","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Domain Users; Executives Group","","Yes","True","No","EmployeeID; Manager"
"2026-07-28T10:31:31.2731451-07:00","William Trent","william.trent","william.trent@Corp.local",,"Executives","Chief Operating Officer (COO)","Ted Willams","True","False","6/10/2026 9:50:00 PM",,,,"Executives Group","\\FILE01\Departments","\\FILE01\Departments\Executives","\\FILE01\Departments\Executives","S:","Modify","Birthright","Executive Sponsor","OU=Executives,OU=Departments,DC=Corp,DC=local","Domain Users; Executives Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Alyssa Jensen","alyssa.jensen","alyssa.jensen@Corp.local",,"Finance","Manager of Finance","Benjamin Washington","True","False","6/10/2026 9:41:42 PM","7/27/2026 5:03:12 PM",,,"Finance Group","\\FILE01\Departments","\\FILE01\Departments\Finance","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Domain Users; Finance Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Amy Wilcox","amy.wilcox","amy.wilcox@Corp.local",,"Finance","Payroll Specialist","Alyssa Jensen","True","False","6/10/2026 9:42:39 PM",,,,"Finance Group","\\FILE01\Departments","\\FILE01\Departments\Finance","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Domain Users; Finance Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Andrea Forsythe","andrea.forsythe","andrea.forsythe@Corp.local",,"Finance","Finance Analyst","Alyssa Jensen","True","False","6/10/2026 9:44:38 PM",,,,"Finance Group","\\FILE01\Departments","\\FILE01\Departments\Finance","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Domain Users; Finance Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Anthony Edwards","anthony.edwards","anthony.edwards@Corp.local",,"Finance","Treasury and Cash Management Staff","Alyssa Jensen","True","False","6/10/2026 9:43:39 PM",,,,"Finance Group","\\FILE01\Departments","\\FILE01\Departments\Finance","\\FILE01\Departments\Finance","S:","Modify","Birthright","Finance Manager","OU=Finance,OU=Departments,DC=Corp,DC=local","Domain Users; Finance Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Janice Smith","janice.smith","janice.smith@Corp.local",,"HR","HR Manager","Kathy Arnold","True","False","6/10/2026 9:29:02 PM",,,,"HR Group","\\FILE01\Departments","\\FILE01\Departments\HR","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","OU=HR,OU=Departments,DC=Corp,DC=local","Domain Users; HR Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Jennifer Sorensen","jennifer.sorensen","jennifer.sorensen@Corp.local",,"HR","HR Generalist","Janice Smith","True","False","6/10/2026 9:30:11 PM",,,,"HR Group","\\FILE01\Departments","\\FILE01\Departments\HR","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","OU=HR,OU=Departments,DC=Corp,DC=local","Domain Users; HR Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Julie Lloyd","julie.lloyd","julie.lloyd@Corp.local",,"HR","HRIS Specialist","Janice Smith","True","False","6/10/2026 9:31:01 PM",,,,"HR Group","\\FILE01\Departments","\\FILE01\Departments\HR","\\FILE01\Departments\HR","S:","Modify","Birthright","HR Manager","OU=HR,OU=Departments,DC=Corp,DC=local","Domain Users; HR Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Michael Smith","michael.smith","michael.smith@Corp.local","1001","HR","HR Analyst","Sarah Johnson","False","False","7/27/2026 6:49:04 PM",,"\\FILE01\HomeFolders\michael.smith","H:","","","","","","","","","OU=Disabled Users,DC=Corp,DC=local","Domain Users","","No","False","Yes",""
"2026-07-28T10:31:31.2731451-07:00","Bill Smith","bill.smith","bill.smith@Corp.local",,"IT","Manager of IT","John Williams","True","False","6/10/2026 9:24:05 PM",,,,"IT Group","\\FILE01\Departments","\\FILE01\Departments\IT","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","Domain Users; IT Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Eric Lee","eric.lee","eric.lee@Corp.local",,"IT","HelpDesk Technician","Bill Smith","True","False","6/10/2026 9:25:14 PM",,,,"IT Group","\\FILE01\Departments","\\FILE01\Departments\IT","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","Domain Users; IT Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","James Tritt","james.tritt","james.tritt@Corp.local",,"IT","IT Technical Support Specialist","Bill Smith","True","False","6/10/2026 9:26:13 PM",,,,"IT Group","\\FILE01\Departments","\\FILE01\Departments\IT","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","Domain Users; IT Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","John Williams","john.williams","john.williams@Corp.local",,"IT","Director of IT","William Trent","True","False","6/10/2026 9:27:15 PM","7/27/2026 5:04:50 PM",,,"IT Group","\\FILE01\Departments","\\FILE01\Departments\IT","\\FILE01\Departments\IT","S:","Modify","Birthright","IT Manager","OU=IT,OU=Departments,DC=Corp,DC=local","Domain Users; IT Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Brown Steward","brown.steward","brown.steward@Corp.local",,"Security","Manager of Cybersecurity","William Trent","True","False","7/11/2026 3:53:48 PM",,,,"Security Group","\\FILE01\Departments","\\FILE01\Departments\Security","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","OU=Security,OU=Departments,DC=Corp,DC=local","Domain Users; Security Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","David Admire","davidadmire","davidadmire@Corp.local",,"Security","DevSecOps","Brown Steward","True","False","7/11/2026 4:12:53 PM",,,,"Security Group","\\FILE01\Departments","\\FILE01\Departments\Security","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","OU=Security,OU=Departments,DC=Corp,DC=local","Domain Users; Security Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","Ethan Marwaloud","ethanmarwaloud","ethanmarwaloud@Corp.local",,"Security","Security Engineer","Brown Steward","True","False","7/11/2026 4:10:34 PM",,,,"Security Group","\\FILE01\Departments","\\FILE01\Departments\Security","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","OU=Security,OU=Departments,DC=Corp,DC=local","Domain Users; Security Group","","Yes","True","No","EmployeeID"
"2026-07-28T10:31:31.2731451-07:00","John Latouche","johnlatouche","johnlatouche@Corp.local",,"Security","IAM Engineer","Brown Steward","True","False","7/11/2026 3:54:52 PM",,,,"Security Group","\\FILE01\Departments","\\FILE01\Departments\Security","\\FILE01\Departments\Security","S:","Modify","Birthright","Security Manager","OU=Security,OU=Departments,DC=Corp,DC=local","Domain Users; Security Group","","Yes","True","No","EmployeeID"
